sid,time,altitude,acceleration,acceleration-X,acceleration-Y,acceleration-Z,SPS,Reliability,RSSI
16818,0.159,0.00,1.05,-1.03,0.20,-0.10,0.00,100.0,-55
16819,0.260,0.02,1.17,-1.13,0.29,-0.15,0.00,100.0,-55
16820,0.360,0.03,1.03,-0.98,0.29,-0.10,0.00,100.0,-55
16821,0.461,0.03,1.00,-0.98,0.20,-0.05,0.00,100.0,-55
16822,0.561,0.02,1.22,-1.18,0.29,-0.10,0.00,100.0,-55
16823,0.661,0.02,1.02,-0.98,0.29,0.00,0.00,100.0,-55
16824,0.762,0.05,1.07,-1.03,0.20,-0.20,9.94,100.0,-56
16825,0.846,0.04,1.08,-1.03,0.20,-0.24,9.49,100.0,-56
16826,0.931,0.06,1.06,-1.03,0.20,-0.15,9.08,100.0,-56
16827,1.015,0.06,1.04,-1.03,0.15,-0.10,8.71,100.0,-56
16828,1.099,0.02,1.11,-1.08,0.20,-0.15,8.36,100.0,-56
16829,1.184,0.05,1.10,-1.08,0.20,-0.10,8.04,100.0,-56
16830,1.268,0.09,1.13,-1.08,0.24,-0.24,10.82,100.0,-54
16831,1.351,-0.04,1.09,-1.03,0.24,-0.24,10.55,100.0,-54
16832,1.434,0.02,1.12,-1.08,0.24,-0.20,10.29,100.0,-54
16833,1.518,0.02,1.09,-1.03,0.24,-0.24,10.05,100.0,-54
16834,1.601,0.10,1.13,-1.08,0.24,-0.24,9.81,100.0,-54
16835,1.684,0.09,1.08,-1.03,0.24,-0.20,9.59,100.0,-54
16836,1.767,0.09,1.14,-1.08,0.29,-0.24,11.20,100.0,-55
16837,1.851,0.08,1.17,-1.08,0.34,-0.29,11.00,100.0,-55
16838,1.935,0.09,1.10,-1.03,0.29,-0.24,10.81,100.0,-55
16839,2.019,0.09,1.16,-1.08,0.34,-0.24,10.63,100.0,-55
16840,2.103,0.10,1.10,-1.03,0.29,-0.24,10.45,100.0,-55
16841,2.187,0.04,1.17,-1.08,0.29,-0.34,10.28,100.0,-55
16842,2.271,0.09,1.13,-1.08,0.29,-0.15,11.36,100.0,-56
16878,5.484,0.07,1.11,-0.98,0.34,-0.39,12.39,100.0,-53
16879,5.587,0.00,1.09,-0.98,0.34,-0.34,12.33,100.0,-53
16884,5.986,0.13,1.19,-1.08,0.24,-0.44,12.36,100.0,-54
16885,6.069,0.12,1.12,-1.03,0.29,-0.34,12.30,100.0,-54
16886,6.153,0.08,1.16,-1.03,0.29,-0.44,12.24,100.0,-54
16887,6.236,0.08,1.10,-0.98,0.29,-0.39,12.18,100.0,-54
16888,6.320,0.07,1.11,-0.98,0.29,-0.44,12.12,100.0,-54
16889,6.404,0.02,1.20,-1.08,0.39,-0.34,12.06,100.0,-54
16890,6.487,0.11,1.13,-1.08,0.29,-0.15,11.38,100.0,-54
16891,6.571,0.01,1.03,-0.98,0.29,-0.10,11.33,100.0,-54
16892,6.654,0.01,1.13,-1.08,0.29,-0.20,11.28,100.0,-54
16893,6.738,0.01,1.05,-0.98,0.24,-0.29,11.23,100.0,-54
16894,6.822,0.11,1.11,-1.03,0.24,-0.34,11.18,100.0,-54
