sid,time,altitude,acceleration,acceleration-X,acceleration-Y,acceleration-Z,SPS,Reliability,RSSI
9144,-0.040,0.00,0.90,0.83,0.15,-0.29,0.00,100.0,-56
9145,0.061,-0.03,0.95,0.88,0.20,-0.29,0.00,100.0,-56
9146,0.162,-0.03,0.97,0.93,0.10,-0.24,0.00,100.0,-56
9147,0.263,-0.03,0.90,0.83,0.15,-0.29,0.00,100.0,-56
9148,0.363,-0.05,0.93,0.88,0.10,-0.29,0.00,100.0,-56
9149,0.464,-0.05,1.00,0.93,0.15,-0.34,0.00,100.0,-56
9150,0.565,-0.01,0.93,0.88,0.15,-0.24,9.90,100.0,-57
9151,0.649,-0.07,0.84,0.78,0.20,-0.24,9.46,100.0,-57
9152,0.732,-0.07,0.94,0.88,0.15,-0.29,9.05,100.0,-57
9153,0.816,-0.07,0.90,0.83,0.15,-0.29,8.67,100.0,-57
9154,0.900,-0.08,0.93,0.88,0.15,-0.24,8.33,100.0,-57
9155,0.983,-0.08,0.94,0.88,0.15,-0.29,8.01,100.0,-57
9156,1.067,-0.03,0.94,0.88,0.15,-0.29,10.84,100.0,-55
9157,1.151,-0.06,0.93,0.88,0.15,-0.24,10.56,100.0,-55
9158,1.235,-0.08,0.93,0.88,0.15,-0.24,10.31,100.0,-55
9159,1.319,-0.08,0.90,0.83,0.15,-0.29,10.06,100.0,-55
9160,1.402,-0.08,0.91,0.83,0.15,-0.34,9.82,100.0,-55
9161,1.486,-0.14,0.93,0.88,0.10,-0.29,9.60,100.0,-55
9162,1.570,-0.10,0.89,0.83,0.10,-0.29,11.18,100.0,-54
9163,1.654,-0.13,0.88,0.83,0.15,-0.24,10.98,100.0,-54
9164,1.738,-0.11,0.88,0.83,0.15,-0.24,10.79,100.0,-54
9165,1.821,-0.11,0.90,0.83,0.20,-0.29,10.61,100.0,-54
9166,1.905,-0.11,0.90,0.83,0.15,-0.29,10.44,100.0,-54
9167,1.989,-0.13,0.94,0.88,0.20,-0.24,10.27,100.0,-54
9168,2.073,-0.11,0.92,0.83,0.20,-0.34,11.36,100.0,-57
9169,2.173,-0.13,0.98,0.88,0.15,-0.39,11.20,100.0,-57
9170,2.274,-0.17,1.00,0.93,0.15,-0.34,11.06,100.0,-57
9171,2.375,-0.17,0.90,0.83,0.20,-0.29,10.91,100.0,-57
9172,2.475,-0.18,0.96,0.88,0.15,-0.34,10.77,100.0,-57
9173,2.575,-0.12,0.95,0.93,0.05,-0.20,10.64,100.0,-57
9174,2.676,-0.07,0.90,0.83,0.15,-0.29,11.05,100.0,-58
9175,2.760,-0.15,0.88,0.83,0.20,-0.20,10.93,100.0,-58
9176,2.843,-0.18,0.96,0.88,0.15,-0.34,10.82,100.0,-58
9177,2.926,-0.18,0.88,0.83,0.15,-0.24,10.71,100.0,-58
9178,3.010,-0.26,0.84,0.78,0.20,-0.24,10.60,100.0,-58
9179,3.094,-0.27,0.88,0.83,0.20,-0.20,10.49,100.0,-58
9180,3.177,-0.16,0.98,0.88,0.15,-0.39,11.19,100.0,-59
9181,3.261,-0.12,0.90,0.83,0.15,-0.29,11.09,100.0,-59
9182,3.344,-0.12,0.93,0.88,0.15,-0.24,10.99,100.0,-59
9183,3.428,-0.12,0.95,0.88,0.10,-0.34,10.90,100.0,-59
9184,3.512,-0.13,0.88,0.83,0.15,-0.24,10.81,100.0,-59
9185,3.595,-0.17,0.94,0.88,0.15,-0.29,10.71,100.0,-59
9186,3.679,-0.09,0.93,0.88,0.15,-0.24,11.29,100.0,-54
9187,3.762,-0.11,0.97,0.88,0.20,-0.34,11.21,100.0,-54
9188,3.846,-0.11,0.94,0.83,0.20,-0.39,11.12,100.0,-54
9189,3.929,-0.11,0.93,0.88,0.15,-0.24,11.04,100.0,-54
9190,4.013,-0.15,0.94,0.88,0.15,-0.29,10.95,100.0,-54
9191,4.096,-0.08,0.92,0.88,0.10,-0.24,10.87,100.0,-54
9192,4.180,-0.07,0.91,0.83,0.15,-0.34,11.37,100.0,-59
9193,4.281,-0.12,0.97,0.93,0.15,-0.24,11.30,100.0,-59
9194,4.381,-0.14,0.95,0.88,0.20,-0.29,11.22,100.0,-59
9195,4.482,-0.14,0.91,0.83,0.15,-0.34,11.15,100.0,-59
9196,4.583,-0.15,0.94,0.88,0.15,-0.29,11.07,100.0,-59
9197,4.683,-0.12,0.92,0.88,0.10,-0.24,11.00,100.0,-59
9198,4.784,-0.02,0.92,0.88,0.10,-0.24,11.19,100.0,-58
9199,4.868,-0.06,0.97,0.93,0.15,-0.24,11.13,100.0,-58
9200,4.951,-0.05,0.89,0.83,0.20,-0.24,11.06,100.0,-58
9201,5.035,-0.05,1.00,0.93,0.15,-0.34,11.00,100.0,-58
9202,5.119,-0.08,0.88,0.83,0.15,-0.24,10.93,100.0,-58
9203,5.202,-0.09,0.94,0.88,0.20,-0.24,10.87,100.0,-58
9204,5.286,0.03,0.88,0.83,0.15,-0.24,11.26,100.0,-59
9205,5.370,-0.07,0.94,0.88,0.20,-0.24,11.20,100.0,-59
9206,5.453,-0.09,0.92,0.83,0.20,-0.34,11.14,100.0,-59
9207,5.537,-0.09,0.94,0.88,0.15,-0.29,11.09,100.0,-59
9208,5.621,-0.10,0.93,0.88,0.10,-0.29,11.03,100.0,-59
9209,5.704,-0.06,0.88,0.83,0.15,-0.24,10.97,100.0,-59
9210,5.788,-0.09,0.96,0.88,0.15,-0.34,11.32,100.0,-60
9211,5.872,-0.07,0.90,0.83,0.15,-0.29,11.27,100.0,-60
9212,5.956,-0.10,0.90,0.83,0.15,-0.29,11.21,100.0,-60
9213,6.040,-0.10,0.94,0.88,0.20,-0.24,11.16,100.0,-60
