sid,time,altitude,acceleration,acceleration-X,acceleration-Y,acceleration-Z,SPS,Reliability,RSSI
1308,-0.749,0.00,0.90,0.78,0.10,-0.44,0.00,100.0,-71
1309,-0.549,-0.03,0.98,0.93,0.20,-0.24,0.00,100.0,-71
1310,-0.349,-0.01,1.01,0.93,0.20,-0.34,0.00,100.0,-71
1311,-0.149,-0.01,0.94,0.88,0.15,-0.29,0.00,100.0,-71
1312,0.051,-0.01,0.97,0.88,0.20,-0.34,0.00,100.0,-71
1313,0.251,-0.09,0.95,0.88,0.20,-0.29,0.00,100.0,-71
1314,0.335,-0.01,0.91,0.78,0.15,-0.44,5.53,100.0,-72
1315,0.419,-0.06,1.01,0.93,0.20,-0.34,5.14,100.0,-72
1316,0.503,-0.11,0.93,0.83,0.24,-0.34,4.79,100.0,-72
1317,0.587,-0.11,0.95,0.88,0.20,-0.29,4.49,100.0,-72
1318,0.672,-0.09,0.95,0.88,0.20,-0.29,4.22,100.0,-72
1319,0.756,-0.05,1.00,0.93,0.20,-0.29,3.99,100.0,-72
1320,0.856,-0.07,0.92,0.78,0.20,-0.44,7.48,100.0,-75
1321,0.956,-0.14,0.94,0.88,0.20,-0.24,7.04,100.0,-75
1322,1.056,-0.06,1.00,0.93,0.20,-0.29,6.65,100.0,-75
1323,1.156,-0.06,0.97,0.88,0.20,-0.34,6.30,100.0,-75
1324,1.256,-0.08,0.98,0.88,0.20,-0.39,5.99,100.0,-75
1325,1.356,-0.07,0.97,0.88,0.20,-0.34,5.70,100.0,-75
1326,1.440,-0.05,0.90,0.78,0.10,-0.44,8.23,100.0,-76
1327,1.523,-0.04,0.95,0.88,0.20,-0.29,7.92,100.0,-76
1328,1.607,0.00,0.94,0.88,0.20,-0.24,7.64,100.0,-76
1329,1.691,0.00,0.97,0.88,0.20,-0.34,7.38,100.0,-76
1330,1.774,-0.05,1.00,0.93,0.20,-0.29,7.13,100.0,-76
1331,1.858,-0.10,0.92,0.83,0.20,-0.34,6.90,100.0,-76
1332,1.942,0.04,0.89,0.78,0.15,-0.39,8.92,100.0,-72
1333,2.026,-0.01,0.98,0.88,0.24,-0.34,8.65,100.0,-72
1334,2.110,-0.04,0.99,0.93,0.24,-0.24,8.39,100.0,-72
1335,2.194,-0.04,0.89,0.83,0.20,-0.24,8.16,100.0,-72
1336,2.278,-0.03,1.05,0.93,0.29,-0.39,7.93,100.0,-72
1337,2.362,-0.12,0.96,0.88,0.15,-0.34,7.72,100.0,-72
1338,2.446,-0.07,1.00,0.83,0.10,-0.54,9.39,100.0,-73
1339,2.529,-0.12,1.01,0.93,0.20,-0.34,9.15,100.0,-73
1340,2.613,-0.11,0.94,0.88,0.20,-0.24,8.92,100.0,-73
1341,2.696,-0.11,1.00,0.88,0.24,-0.39,8.71,100.0,-73
1342,2.780,-0.08,0.98,0.88,0.20,-0.39,8.50,100.0,-73
1343,2.864,-0.14,0.97,0.88,0.20,-0.34,8.30,100.0,-73
1344,2.963,-0.05,0.87,0.78,0.15,-0.34,9.70,100.0,-76
1345,3.063,-0.09,1.01,0.93,0.24,-0.29,9.44,100.0,-76
1346,3.163,-0.11,1.02,0.88,0.24,-0.44,9.20,100.0,-76
1347,3.263,-0.11,1.00,0.93,0.20,-0.29,8.97,100.0,-76
1348,3.363,-0.11,0.97,0.88,0.20,-0.34,8.76,100.0,-76
1349,3.462,-0.10,0.92,0.83,0.24,-0.29,8.55,100.0,-76
1350,3.547,0.02,0.93,0.83,0.10,-0.39,9.78,100.0,-80
1351,3.631,-0.05,0.98,0.88,0.24,-0.34,9.59,100.0,-80
1352,3.715,0.00,1.00,0.93,0.15,-0.34,9.41,100.0,-80
1353,3.800,0.00,0.98,0.88,0.24,-0.34,9.23,100.0,-80
1354,3.884,-0.08,0.90,0.83,0.20,-0.29,9.07,100.0,-80
1355,3.968,-0.07,0.98,0.88,0.24,-0.34,8.90,100.0,-80
1356,4.052,-0.05,0.95,0.83,0.15,-0.44,10.00,100.0,-82
1357,4.135,-0.11,0.98,0.88,0.24,-0.34,9.83,100.0,-82
1358,4.219,-0.11,1.02,0.93,0.15,-0.39,9.66,100.0,-82
1359,4.303,-0.11,0.93,0.83,0.24,-0.34,9.50,100.0,-82
1360,4.386,-0.14,0.95,0.88,0.20,-0.29,9.35,100.0,-82
1361,4.470,-0.11,1.01,0.93,0.20,-0.34,9.20,100.0,-82
1362,4.554,-0.04,0.93,0.83,0.15,-0.39,10.18,100.0,-71
1363,4.637,-0.04,1.01,0.93,0.24,-0.29,10.03,100.0,-71
1364,4.721,-0.01,0.99,0.88,0.29,-0.34,9.87,100.0,-71
1365,4.804,-0.01,0.97,0.88,0.20,-0.34,9.72,100.0,-71
1366,4.888,-0.10,1.04,0.93,0.24,-0.39,9.58,100.0,-71
1367,4.971,-0.13,0.93,0.83,0.24,-0.34,9.44,100.0,-71
1368,5.071,-0.01,0.90,0.78,0.20,-0.39,10.31,100.0,-73
1369,5.171,-0.01,1.02,0.93,0.24,-0.34,10.13,100.0,-73
1370,5.272,-0.01,0.99,0.93,0.15,-0.29,9.97,100.0,-73
1371,5.372,-0.01,0.94,0.88,0.15,-0.29,9.80,100.0,-73
1372,5.472,-0.01,0.98,0.93,0.20,-0.24,9.65,100.0,-73
1373,5.572,-0.04,0.96,0.88,0.24,-0.29,9.49,100.0,-73
1374,5.656,-0.05,0.94,0.78,0.15,-0.49,10.31,100.0,-69
1375,5.739,-0.10,1.02,0.93,0.24,-0.34,10.17,100.0,-69
1376,5.823,-0.15,0.96,0.88,0.24,-0.29,10.04,100.0,-69
1377,5.907,-0.15,0.98,0.88,0.24,-0.34,9.92,100.0,-69
1378,5.990,-0.12,0.98,0.88,0.24,-0.34,9.79,100.0,-69
