sid,time,altitude,acceleration,acceleration-X,acceleration-Y,acceleration-Z,SPS,Reliability,RSSI
2724,-0.718,0.00,1.02,0.88,0.15,-0.49,0.00,100.0,-60
2725,-0.518,0.06,0.98,0.88,0.20,-0.39,0.00,100.0,-60
2726,-0.318,0.10,1.02,0.88,0.24,-0.44,0.00,100.0,-60
2727,-0.118,0.10,0.97,0.88,0.20,-0.34,0.00,100.0,-60
2728,0.082,0.03,1.01,0.88,0.20,-0.44,0.00,100.0,-60
2729,0.282,0.04,0.92,0.78,0.20,-0.44,0.00,100.0,-60
2730,0.366,0.11,0.98,0.88,0.15,-0.39,5.54,100.0,-60
2731,0.449,0.10,1.06,0.93,0.24,-0.44,5.14,100.0,-60
2732,0.533,0.08,1.01,0.83,0.29,-0.49,4.80,100.0,-60
2733,0.617,0.08,1.03,0.88,0.20,-0.49,4.50,100.0,-60
2734,0.700,-0.02,1.00,0.88,0.24,-0.39,4.23,100.0,-60
2735,0.784,-0.09,1.08,0.93,0.24,-0.49,4.00,100.0,-60
2736,0.885,-0.02,0.95,0.83,0.24,-0.39,7.49,100.0,-63
2737,0.986,0.05,1.04,0.93,0.24,-0.39,7.04,100.0,-63
2738,1.086,-0.02,1.02,0.88,0.24,-0.44,6.65,100.0,-63
2739,1.187,-0.02,0.99,0.83,0.29,-0.44,6.30,100.0,-63
2740,1.288,-0.13,1.06,0.93,0.24,-0.44,5.98,100.0,-63
2741,1.389,-0.14,1.01,0.88,0.20,-0.44,5.70,100.0,-63
2742,1.473,-0.16,0.93,0.83,0.15,-0.39,8.22,100.0,-60
2743,1.556,-0.16,0.98,0.88,0.20,-0.39,7.91,100.0,-60
2744,1.640,-0.13,0.98,0.88,0.20,-0.39,7.63,100.0,-60
2745,1.724,-0.13,1.00,0.88,0.24,-0.39,7.37,100.0,-60
2746,1.808,-0.14,0.93,0.83,0.24,-0.34,7.13,100.0,-60
2747,1.891,-0.08,1.00,0.88,0.24,-0.39,6.90,100.0,-60
2748,1.975,0.01,0.92,0.78,0.20,-0.44,8.91,100.0,-63
2749,2.058,0.01,1.01,0.88,0.20,-0.44,8.64,100.0,-63
2750,2.142,0.03,1.01,0.88,0.20,-0.44,8.39,100.0,-63
2751,2.225,0.03,0.98,0.88,0.20,-0.39,8.15,100.0,-63
2752,2.309,-0.01,1.02,0.88,0.24,-0.44,7.93,100.0,-63
2753,2.392,-0.04,0.99,0.83,0.20,-0.49,7.72,100.0,-63
2754,2.476,0.00,1.02,0.88,0.15,-0.49,9.39,100.0,-66
2755,2.559,0.02,0.94,0.83,0.20,-0.39,9.15,100.0,-66
2756,2.643,0.03,0.97,0.78,0.29,-0.49,8.93,100.0,-66
2757,2.727,0.03,1.05,0.93,0.20,-0.44,8.71,100.0,-66
2790,5.688,-0.08,0.97,0.83,0.24,-0.44,11.24,100.0,-64
2791,5.771,-0.01,1.03,0.88,0.29,-0.44,11.10,100.0,-64
2792,5.855,-0.09,0.97,0.83,0.24,-0.44,10.95,100.0,-64
2793,5.939,-0.09,1.01,0.88,0.20,-0.44,10.82,100.0,-64
2794,6.022,-0.14,1.01,0.88,0.20,-0.44,10.68,100.0,-64
2795,6.106,-0.11,0.93,0.83,0.24,-0.34,10.55,100.0,-64
2796,6.189,-0.08,0.96,0.83,0.20,-0.44,10.42,100.0,-65
2797,6.273,0.04,0.99,0.83,0.29,-0.44,10.30,100.0,-65
2798,6.356,-0.01,0.95,0.83,0.24,-0.39,10.18,100.0,-65
2799,6.440,-0.01,0.96,0.83,0.20,-0.44,10.06,100.0,-65
2800,6.523,-0.09,1.07,0.93,0.29,-0.44,9.94,100.0,-65
2801,6.606,-0.11,1.00,0.88,0.24,-0.39,9.83,100.0,-65
2802,6.690,-0.11,1.03,0.88,0.20,-0.49,10.53,100.0,-65
2803,6.773,0.01,1.02,0.88,0.24,-0.44,10.41,100.0,-65
2804,6.857,-0.05,1.02,0.88,0.24,-0.44,10.30,100.0,-65
2805,6.940,-0.05,1.02,0.88,0.24,-0.44,10.19,100.0,-65
2806,7.023,-0.03,0.95,0.83,0.29,-0.34,10.08,100.0,-65
2807,7.107,-0.12,0.92,0.83,0.20,-0.34,9.97,100.0,-65
2808,7.191,-0.11,1.01,0.88,0.20,-0.44,10.62,100.0,-66
2809,7.275,-0.10,1.01,0.88,0.20,-0.44,10.51,100.0,-66
2810,7.360,-0.14,0.95,0.83,0.24,-0.39,10.40,100.0,-66
2811,7.444,-0.14,1.03,0.88,0.29,-0.44,10.29,100.0,-66
2812,7.528,-0.21,0.97,0.83,0.24,-0.44,10.19,100.0,-66
2813,7.613,-0.17,1.07,0.93,0.20,-0.49,10.08,100.0,-66
2814,7.713,-0.18,1.02,0.88,0.24,-0.44,10.68,100.0,-68
2815,7.813,-0.16,0.96,0.83,0.20,-0.44,10.55,100.0,-68
2816,7.914,-0.14,1.02,0.88,0.24,-0.44,10.43,100.0,-68
2817,8.014,-0.14,0.97,0.83,0.29,-0.39,10.31,100.0,-68
2818,8.114,-0.20,0.95,0.83,0.24,-0.39,10.19,100.0,-68
2819,8.214,-0.23,1.00,0.88,0.24,-0.39,10.08,100.0,-68
2820,8.298,-0.21,0.97,0.83,0.24,-0.44,10.65,100.0,-63
2821,8.382,-0.18,1.01,0.88,0.20,-0.44,10.55,100.0,-63
2822,8.465,-0.16,1.03,0.88,0.20,-0.49,10.45,100.0,-63
2823,8.549,-0.16,1.03,0.93,0.20,-0.39,10.36,100.0,-63
2824,8.633,-0.16,1.01,0.88,0.20,-0.44,10.27,100.0,-63
2825,8.716,-0.16,0.97,0.83,0.24,-0.44,10.18,100.0,-63
2826,8.800,-0.10,0.96,0.83,0.20,-0.44,10.72,100.0,-69
2827,8.884,-0.13,1.02,0.88,0.24,-0.44,10.62,100.0,-69
2828,8.968,-0.16,1.03,0.93,0.20,-0.39,10.53,100.0,-69
2829,9.051,-0.16,0.96,0.88,0.15,-0.34,10.44,100.0,-69
2830,9.135,-0.22,0.97,0.88,0.20,-0.34,10.35,100.0,-69
2831,9.219,-0.24,0.97,0.83,0.24,-0.44,10.27,100.0,-69
2832,9.302,-0.23,0.99,0.83,0.20,-0.49,10.78,100.0,-71
2833,9.386,-0.11,1.00,0.88,0.15,-0.44,10.69,100.0,-71
2834,9.470,-0.09,0.94,0.83,0.20,-0.39,10.60,100.0,-71
2835,9.553,-0.09,1.04,0.88,0.24,-0.49,10.51,100.0,-71
2836,9.637,-0.08,1.02,0.88,0.24,-0.44,10.43,100.0,-71
2837,9.721,-0.08,1.05,0.93,0.20,-0.44,10.35,100.0,-71
2838,9.821,-0.07,0.98,0.83,0.15,-0.49,10.82,100.0,-61
2839,9.921,-0.10,0.97,0.88,0.20,-0.34,10.71,100.0,-61
2840,10.022,-0.10,0.97,0.83,0.29,-0.39,10.61,100.0,-61
2841,10.122,-0.10,0.94,0.83,0.20,-0.39,10.52,100.0,-61
