sid,time,altitude,acceleration,acceleration-X,acceleration-Y,acceleration-Z,SPS,Reliability,RSSI
16818,0.159,0.00,1.05,-1.03,0.20,-0.10,0.00,100.0,-55
16819,0.188,0.02,1.17,-1.13,0.29,-0.15,0.00,100.0,-55
16820,0.216,0.03,1.03,-0.98,0.29,-0.10,0.00,100.0,-55
16821,0.245,0.03,1.00,-0.98,0.20,-0.05,0.00,100.0,-55
16822,0.273,0.02,1.22,-1.18,0.29,-0.10,0.00,100.0,-55
16823,0.302,0.02,1.02,-0.98,0.29,0.00,0.00,100.0,-55
16824,0.762,0.05,1.07,-1.03,0.20,-0.20,9.94,100.0,-56
16825,0.791,0.04,1.08,-1.03,0.20,-0.24,9.49,100.0,-56
16826,0.820,0.06,1.06,-1.03,0.20,-0.15,9.08,100.0,-56
16827,0.848,0.06,1.04,-1.03,0.15,-0.10,8.71,100.0,-56
16828,0.877,0.02,1.11,-1.08,0.20,-0.15,8.36,100.0,-56
16829,0.905,0.05,1.10,-1.08,0.20,-0.10,8.04,100.0,-56
16830,1.268,0.09,1.13,-1.08,0.24,-0.24,10.82,100.0,-54
16831,1.296,-0.04,1.09,-1.03,0.24,-0.24,10.55,100.0,-54
16832,1.325,0.02,1.12,-1.08,0.24,-0.20,10.29,100.0,-54
16833,1.354,0.02,1.09,-1.03,0.24,-0.24,10.05,100.0,-54
16834,1.382,0.10,1.13,-1.08,0.24,-0.24,9.81,100.0,-54
16835,1.411,0.09,1.08,-1.03,0.24,-0.20,9.59,100.0,-54
16836,1.767,0.09,1.14,-1.08,0.29,-0.24,11.20,100.0,-55
16837,1.795,0.08,1.17,-1.08,0.34,-0.29,11.00,100.0,-55
16838,1.824,0.09,1.10,-1.03,0.29,-0.24,10.81,100.0,-55
16839,1.853,0.09,1.16,-1.08,0.34,-0.24,10.63,100.0,-55
16840,1.881,0.10,1.10,-1.03,0.29,-0.24,10.45,100.0,-55
16841,1.910,0.04,1.17,-1.08,0.29,-0.34,10.28,100.0,-55
16842,2.271,0.09,1.13,-1.08,0.29,-0.15,11.36,100.0,-56
16878,5.484,0.07,1.11,-0.98,0.34,-0.39,12.39,100.0,-53
16879,5.512,0.00,1.09,-0.98,0.34,-0.34,12.33,100.0,-53
16884,5.986,0.13,1.19,-1.08,0.24,-0.44,12.36,100.0,-54
16885,6.015,0.12,1.12,-1.03,0.29,-0.34,12.30,100.0,-54
16886,6.043,0.08,1.16,-1.03,0.29,-0.44,12.24,100.0,-54
16887,6.072,0.08,1.10,-0.98,0.29,-0.39,12.18,100.0,-54
16888,6.100,0.07,1.11,-0.98,0.29,-0.44,12.12,100.0,-54
16889,6.129,0.02,1.20,-1.08,0.39,-0.34,12.06,100.0,-54
16890,6.487,0.11,1.13,-1.08,0.29,-0.15,11.38,100.0,-54
16891,6.516,0.01,1.03,-0.98,0.29,-0.10,11.33,100.0,-54
16892,6.544,0.01,1.13,-1.08,0.29,-0.20,11.28,100.0,-54
16893,6.573,0.01,1.05,-0.98,0.24,-0.29,11.23,100.0,-54
16894,6.602,0.11,1.11,-1.03,0.24,-0.34,11.18,100.0,-54
16895,6.630,0.10,1.16,-1.08,0.24,-0.34,11.13,100.0,-54
16896,6.989,0.11,1.17,-1.08,0.29,-0.34,11.42,100.0,-54
16897,7.018,0.03,1.14,-1.03,0.34,-0.34,11.37,100.0,-54
16898,7.047,0.06,1.17,-1.08,0.34,-0.29,11.33,100.0,-54
16899,7.075,0.06,1.14,-1.03,0.34,-0.34,11.28,100.0,-54
16900,7.104,0.07,1.11,-1.03,0.39,-0.15,11.23,100.0,-54
16901,7.132,0.03,1.15,-1.08,0.39,-0.10,11.19,100.0,-54
16902,7.595,0.08,1.10,-1.03,0.29,-0.24,11.30,100.0,-55
16903,7.624,0.01,1.09,-1.03,0.34,-0.10,11.25,100.0,-55
16904,7.652,0.01,1.11,-1.03,0.39,-0.10,11.21,100.0,-55
16905,7.681,0.01,1.17,-1.08,0.44,-0.05,11.17,100.0,-55
16906,7.710,-0.08,1.12,-0.98,0.54,-0.05,11.13,100.0,-55
16907,7.738,0.02,1.08,-0.93,0.54,-0.05,11.08,100.0,-55
16908,8.098,0.07,1.07,-1.03,0.29,-0.10,11.34,100.0,-55
16909,8.126,0.03,1.07,-1.03,0.29,-0.05,11.30,100.0,-55
16910,8.155,0.07,1.09,-1.03,0.34,-0.05,11.26,100.0,-55
16911,8.183,0.07,1.03,-0.98,0.29,-0.15,11.22,100.0,-55
16912,8.212,0.03,1.10,-1.03,0.29,-0.24,11.18,100.0,-55
16913,8.240,0.14,1.06,-0.98,0.29,-0.29,11.14,100.0,-55
16914,8.600,0.18,1.12,-1.08,0.29,-0.05,11.37,100.0,-56
16915,8.629,0.08,1.11,-1.03,0.39,-0.15,11.33,100.0,-56
16916,8.657,0.12,1.14,-1.08,0.34,-0.10,11.30,100.0,-56
16917,8.686,0.12,1.09,-1.03,0.34,-0.10,11.26,100.0,-56
