sid,time,altitude,acceleration,acceleration-X,acceleration-Y,acceleration-Z,SPS,Reliability,RSSI
3324,0.134,0.00,0.88,0.83,0.15,-0.24,0.00,100.0,-60
3325,0.163,0.01,0.94,0.88,0.20,-0.24,0.00,100.0,-60
3326,0.192,0.02,0.90,0.83,0.20,-0.29,0.00,100.0,-60
3327,0.220,0.02,0.93,0.88,0.15,-0.24,0.00,100.0,-60
3328,0.249,-0.05,1.00,0.93,0.20,-0.29,0.00,100.0,-60
3329,0.277,-0.07,0.94,0.88,0.20,-0.24,0.00,100.0,-60
3330,0.637,-0.01,0.89,0.83,0.20,-0.24,11.93,100.0,-59
3331,0.666,-0.03,0.89,0.83,0.20,-0.24,11.29,100.0,-59
3332,0.694,-0.08,0.92,0.88,0.15,-0.20,10.72,100.0,-59
3333,0.723,-0.08,0.99,0.93,0.15,-0.29,10.20,100.0,-59
3334,0.751,-0.15,0.99,0.93,0.15,-0.29,9.72,100.0,-59
3335,0.780,-0.11,0.97,0.93,0.15,-0.24,9.29,100.0,-59
3336,1.142,-0.14,0.90,0.83,0.15,-0.29,11.90,100.0,-58
3337,1.171,-0.13,0.96,0.88,0.15,-0.34,11.58,100.0,-58
3338,1.200,-0.09,0.94,0.88,0.15,-0.29,11.27,100.0,-58
3339,1.228,-0.09,0.94,0.88,0.20,-0.24,10.97,100.0,-58
3340,1.257,-0.07,1.02,0.93,0.24,-0.34,10.69,100.0,-58
3341,1.285,-0.05,0.92,0.83,0.20,-0.34,10.43,100.0,-58
3342,1.645,0.03,0.93,0.88,0.15,-0.24,11.92,100.0,-59
3343,1.674,0.03,0.89,0.83,0.20,-0.24,11.70,100.0,-59
3344,1.702,0.05,0.90,0.83,0.20,-0.29,11.48,100.0,-59
3345,1.731,0.05,0.95,0.88,0.24,-0.24,11.28,100.0,-59
3346,1.759,-0.04,0.92,0.88,0.15,-0.20,11.08,100.0,-59
3347,1.788,-0.10,0.93,0.88,0.15,-0.24,10.89,100.0,-59
3348,2.246,-0.08,0.90,0.83,0.15,-0.29,11.36,100.0,-60
3349,2.275,-0.10,0.91,0.83,0.15,-0.34,11.21,100.0,-60
3350,2.303,-0.07,0.93,0.88,0.15,-0.24,11.07,100.0,-60
3351,2.332,-0.07,0.99,0.93,0.15,-0.29,10.92,100.0,-60
3352,2.361,-0.06,0.94,0.88,0.20,-0.24,10.78,100.0,-60
3353,2.389,-0.03,0.94,0.88,0.20,-0.24,10.64,100.0,-60
3354,2.749,0.07,0.88,0.83,0.20,-0.20,11.47,100.0,-60
3355,2.778,0.05,1.01,0.93,0.20,-0.34,11.35,100.0,-60
3356,2.806,0.03,0.95,0.88,0.20,-0.29,11.23,100.0,-60
3357,2.835,0.03,0.95,0.88,0.20,-0.29,11.11,100.0,-60
3358,2.863,-0.08,0.88,0.83,0.15,-0.24,10.99,100.0,-60
3359,2.892,-0.03,0.94,0.88,0.20,-0.24,10.88,100.0,-60
3360,3.251,0.03,0.94,0.88,0.15,-0.29,11.55,100.0,-59
3361,3.280,0.02,0.89,0.83,0.20,-0.24,11.45,100.0,-59
3362,3.308,0.00,0.98,0.93,0.20,-0.24,11.34,100.0,-59
3363,3.337,0.00,0.94,0.88,0.20,-0.24,11.24,100.0,-59
3364,3.365,0.04,0.93,0.88,0.15,-0.24,11.14,100.0,-59
3365,3.394,0.06,0.95,0.88,0.20,-0.29,11.04,100.0,-59
3372,4.353,0.18,0.90,0.83,0.20,-0.29,9.96,94.5,-60
3373,4.382,0.08,0.94,0.88,0.20,-0.24,9.89,94.5,-60
3374,4.410,0.01,0.95,0.88,0.20,-0.29,9.82,94.5,-60
3375,4.439,0.01,0.95,0.88,0.20,-0.29,9.76,94.5,-60
3376,4.468,0.00,0.89,0.83,0.20,-0.24,9.69,94.5,-60
3377,4.496,0.02,0.93,0.88,0.15,-0.24,9.63,94.5,-60
3378,4.856,0.07,0.91,0.83,0.15,-0.34,10.17,94.8,-60
3379,4.884,0.00,1.02,0.98,0.15,-0.24,10.11,94.8,-60
3380,4.913,-0.04,0.95,0.88,0.20,-0.29,10.05,94.8,-60
3381,4.941,-0.04,0.93,0.88,0.15,-0.24,9.99,94.8,-60
3382,4.970,-0.07,0.97,0.93,0.15,-0.24,9.93,94.8,-60
3383,4.998,-0.04,1.01,0.93,0.24,-0.29,9.87,94.8,-60
3384,5.356,0.07,0.88,0.83,0.15,-0.24,10.34,95.1,-60
3385,5.385,-0.07,1.00,0.93,0.20,-0.29,10.29,95.1,-60
3386,5.413,-0.07,0.94,0.88,0.20,-0.24,10.23,95.1,-60
3387,5.442,-0.07,0.94,0.88,0.15,-0.29,10.17,95.1,-60
3388,5.470,-0.05,0.98,0.93,0.20,-0.24,10.12,95.1,-60
3389,5.499,-0.02,0.96,0.88,0.15,-0.34,10.07,95.1,-60
3390,5.860,0.01,0.90,0.83,0.20,-0.29,10.48,95.4,-64
3391,5.889,0.01,0.97,0.93,0.20,-0.20,10.43,95.4,-64
3392,5.918,-0.05,0.93,0.88,0.15,-0.24,10.37,95.4,-64
3393,5.946,-0.05,0.96,0.93,0.15,-0.20,10.32,95.4,-64
3394,5.975,-0.10,0.92,0.88,0.20,-0.20,10.27,95.4,-64
3395,6.003,-0.06,0.93,0.88,0.15,-0.24,10.22,95.4,-64
3396,6.363,0.02,0.99,0.93,0.15,-0.29,10.60,95.7,-64
3397,6.391,-0.10,0.98,0.93,0.10,-0.29,10.55,95.7,-64
3398,6.420,-0.06,0.95,0.88,0.20,-0.29,10.50,95.7,-64
3399,6.448,-0.06,0.92,0.88,0.20,-0.20,10.45,95.7,-64
3400,6.477,-0.01,0.94,0.88,0.20,-0.24,10.41,95.7,-64
3401,6.506,-0.02,0.92,0.83,0.24,-0.29,10.36,95.7,-64
3402,6.965,0.01,0.96,0.88,0.15,-0.34,10.54,95.9,-57
3403,6.994,-0.04,0.93,0.88,0.15,-0.24,10.50,95.9,-57
3404,7.022,-0.08,0.94,0.88,0.20,-0.24,10.45,95.9,-57
3405,7.051,-0.08,0.96,0.88,0.24,-0.29,10.41,95.9,-57
3406,7.080,-0.02,0.92,0.88,0.15,-0.20,10.37,95.9,-57
3407,7.108,0.02,1.00,0.93,0.20,-0.29,10.32,95.9,-57
