sid,time,altitude,acceleration,acceleration-X,acceleration-Y,acceleration-Z,SPS,Reliability,RSSI
1608,-0.543,0.00,1.08,-0.05,1.08,0.00,0.00,100.0,-63
1609,-0.343,0.01,1.18,0.00,1.18,0.00,0.00,100.0,-63
1610,-0.143,0.01,1.18,0.00,1.18,0.00,0.00,100.0,-63
1611,0.057,0.05,1.18,0.00,1.18,0.00,0.00,100.0,-63
1612,0.257,-0.03,1.18,-0.05,1.18,0.00,0.00,100.0,-63
1613,0.457,-0.03,1.18,-0.05,1.18,0.00,0.00,100.0,-63
1614,0.541,-0.06,1.13,-0.05,1.13,0.00,5.54,100.0,-64
1615,0.624,-0.07,1.18,-0.05,1.18,-0.05,5.14,100.0,-64
1616,0.708,-0.07,1.13,0.00,1.13,-0.05,4.80,100.0,-64
1617,0.792,-0.07,1.13,-0.05,1.13,0.05,4.49,100.0,-64
1618,0.876,-0.08,1.18,-0.05,1.18,-0.05,4.23,100.0,-64
1619,0.959,0.02,1.13,0.00,1.13,0.00,3.99,100.0,-64
1620,1.043,-0.04,1.13,-0.05,1.13,-0.05,7.57,100.0,-64
1621,1.127,0.02,1.13,0.00,1.13,-0.05,7.19,100.0,-64
1622,1.210,-0.01,1.13,0.00,1.13,-0.10,6.84,100.0,-64
1623,1.294,-0.01,1.18,0.00,1.18,0.00,6.53,100.0,-64
1624,1.378,0.08,1.13,0.00,1.13,0.00,6.25,100.0,-64
1625,1.461,0.16,1.18,-0.05,1.18,0.00,5.99,100.0,-64
1626,1.545,0.17,1.18,-0.05,1.18,-0.05,8.62,100.0,-64
1627,1.629,0.06,1.18,-0.05,1.18,0.00,8.29,100.0,-64
1628,1.713,0.03,1.13,0.00,1.13,-0.05,7.98,100.0,-64
1629,1.797,0.03,1.18,-0.05,1.18,0.05,7.69,100.0,-64
1630,1.881,0.06,1.18,0.00,1.18,0.00,7.43,100.0,-64
1631,1.965,0.03,1.18,-0.05,1.18,0.00,7.18,100.0,-64
1632,2.065,0.08,1.18,-0.05,1.18,0.00,9.20,100.0,-58
1633,2.165,-0.02,1.18,0.00,1.18,-0.05,8.86,100.0,-58
1634,2.266,-0.02,1.18,0.00,1.18,-0.05,8.54,100.0,-58
1635,2.366,-0.03,1.18,0.00,1.18,0.00,8.25,100.0,-58
1636,2.466,-0.01,1.18,0.00,1.18,-0.05,7.98,100.0,-58
1637,2.566,-0.01,1.22,0.00,1.22,0.00,7.72,100.0,-58
