sid,time,altitude,acceleration,acceleration-X,acceleration-Y,acceleration-Z,SPS,Reliability,RSSI
1770,-0.832,0.00,0.57,-0.34,-0.10,0.44,0.00,100.0,-39
1771,-0.632,0.00,0.57,-0.24,-0.15,0.49,0.00,100.0,-39
1772,-0.432,-0.02,0.70,-0.34,-0.15,0.59,0.00,100.0,-39
1773,-0.232,-0.02,0.70,-0.34,-0.15,0.59,0.00,100.0,-39
1774,-0.032,-0.05,0.65,-0.24,-0.15,0.59,0.00,100.0,-39
1775,0.168,-0.12,0.66,-0.29,-0.10,0.59,0.00,100.0,-39
1776,0.268,-0.06,0.57,-0.39,-0.15,0.39,5.45,100.0,-45
1777,0.368,-0.03,0.57,-0.44,-0.10,0.34,5.00,100.0,-45
1778,0.469,-0.01,0.53,-0.34,-0.10,0.39,4.61,100.0,-45
1779,0.569,-0.01,0.62,-0.44,-0.20,0.39,4.28,100.0,-45
1780,0.669,-0.07,0.61,-0.44,-0.15,0.39,4.00,100.0,-45
1781,0.769,-0.04,0.67,-0.44,-0.24,0.44,3.75,100.0,-45
1782,0.853,0.02,0.71,-0.44,-0.15,0.54,7.12,100.0,-41
1783,0.937,0.05,0.73,-0.39,-0.20,0.59,6.78,100.0,-41
1784,1.020,0.03,0.66,-0.39,-0.20,0.49,6.48,100.0,-41
1785,1.104,0.03,0.75,-0.39,-0.24,0.59,6.20,100.0,-41
1786,1.188,0.05,0.62,-0.34,-0.15,0.49,5.94,100.0,-41
1787,1.271,0.03,0.68,-0.39,-0.15,0.54,5.70,100.0,-41
1788,1.355,0.10,0.71,-0.59,-0.10,0.39,8.23,100.0,-41
1789,1.438,0.13,0.68,-0.54,-0.15,0.39,7.93,100.0,-41
1790,1.522,0.11,0.68,-0.54,-0.15,0.39,7.65,100.0,-41
1791,1.606,0.11,0.66,-0.54,-0.15,0.34,7.38,100.0,-41
1792,1.689,0.11,0.71,-0.54,-0.15,0.44,7.14,100.0,-41
1793,1.773,0.05,0.64,-0.49,-0.15,0.39,6.91,100.0,-41
1794,1.857,0.19,0.72,-0.59,-0.15,0.39,8.93,100.0,-42
1795,1.940,0.15,0.69,-0.54,-0.20,0.39,8.66,100.0,-42
1796,2.024,0.13,0.72,-0.59,-0.15,0.39,8.40,100.0,-42
1797,2.107,0.13,0.71,-0.59,-0.20,0.34,8.16,100.0,-42
1798,2.191,0.20,0.75,-0.59,-0.15,0.44,7.94,100.0,-42
1799,2.275,0.19,0.76,-0.59,-0.20,0.44,7.72,100.0,-42
1800,2.375,0.23,0.76,-0.69,-0.15,0.29,9.35,100.0,-42
1801,2.475,0.18,0.72,-0.59,-0.15,0.39,9.07,100.0,-42
1802,2.575,0.16,0.75,-0.64,-0.05,0.39,8.80,100.0,-42
1803,2.676,0.16,0.79,-0.64,-0.15,0.44,8.55,100.0,-42
1804,2.776,0.12,0.76,-0.59,-0.20,0.44,8.31,100.0,-42
1805,2.876,0.21,0.73,-0.59,-0.20,0.39,8.09,100.0,-42
1806,2.960,0.29,0.74,-0.64,-0.15,0.34,9.49,100.0,-42
1807,3.044,0.33,0.75,-0.64,-0.10,0.39,9.29,100.0,-42
1808,3.127,0.24,0.79,-0.69,-0.20,0.34,9.09,100.0,-42
1809,3.211,0.24,0.74,-0.64,-0.15,0.34,8.90,100.0,-42
1810,3.294,0.26,0.74,-0.64,-0.15,0.34,8.72,100.0,-42
1811,3.378,0.22,0.75,-0.64,-0.20,0.34,8.55,100.0,-42
1812,3.462,0.28,0.81,-0.69,-0.24,0.34,9.78,100.0,-42
1813,3.545,0.24,0.79,-0.69,-0.20,0.34,9.59,100.0,-42
1814,3.629,0.24,0.79,-0.69,-0.20,0.34,9.41,100.0,-42
1815,3.713,0.24,0.76,-0.69,-0.15,0.29,9.24,100.0,-42
1816,3.796,0.19,0.71,-0.64,-0.10,0.29,9.07,100.0,-42
1817,3.880,0.20,0.74,-0.64,-0.15,0.34,8.91,100.0,-42
1818,3.963,0.28,0.78,-0.69,-0.15,0.34,10.01,100.0,-43
1819,4.047,0.23,0.83,-0.69,-0.15,0.44,9.84,100.0,-43
1820,4.131,0.17,0.80,-0.69,-0.10,0.39,9.67,100.0,-43
1821,4.214,0.17,0.80,-0.69,-0.10,0.39,9.51,100.0,-43
1822,4.298,0.10,0.80,-0.69,-0.10,0.39,9.36,100.0,-43
1823,4.382,0.19,0.84,-0.74,-0.10,0.39,9.21,100.0,-43
1824,4.465,0.31,0.80,-0.69,-0.15,0.39,10.19,100.0,-41
1825,4.549,0.35,0.83,-0.74,-0.20,0.34,10.04,100.0,-41
1826,4.632,0.25,0.79,-0.69,-0.20,0.34,9.88,100.0,-41
1827,4.716,0.25,0.76,-0.69,-0.15,0.29,9.73,100.0,-41
1828,4.800,0.20,0.72,-0.64,-0.15,0.29,9.59,100.0,-41
1829,4.883,0.27,0.73,-0.64,-0.20,0.29,9.45,100.0,-41
1830,4.984,0.34,0.83,-0.78,-0.20,0.20,10.32,100.0,-40
1831,5.084,0.35,0.80,-0.74,-0.20,0.24,10.14,100.0,-40
1832,5.184,0.30,0.79,-0.74,-0.20,0.20,9.97,100.0,-40
1833,5.284,0.30,0.77,-0.69,-0.20,0.29,9.81,100.0,-40
1834,5.385,0.19,0.81,-0.69,-0.20,0.39,9.65,100.0,-40
1835,5.485,0.33,0.81,-0.74,-0.15,0.29,9.50,100.0,-40
1836,5.569,0.38,0.81,-0.78,-0.15,0.15,10.31,100.0,-40
1837,5.652,0.47,0.77,-0.74,-0.15,0.20,10.18,100.0,-40
1838,5.736,0.48,0.80,-0.78,-0.10,0.15,10.05,100.0,-40
1839,5.820,0.48,0.75,-0.74,-0.10,0.10,9.92,100.0,-40
1840,5.903,0.39,0.75,-0.74,-0.10,0.10,9.80,100.0,-40
1841,5.987,0.39,0.75,-0.74,-0.10,0.10,9.68,100.0,-40
1842,6.070,0.47,0.87,-0.83,-0.15,0.20,10.43,100.0,-39
1843,6.154,0.40,0.87,-0.83,-0.05,0.24,10.31,100.0,-39
1844,6.238,0.37,0.90,-0.88,-0.05,0.20,10.18,100.0,-39
1845,6.321,0.37,0.85,-0.83,-0.10,0.15,10.07,100.0,-39
1846,6.405,0.28,0.86,-0.83,-0.10,0.20,9.95,100.0,-39
1847,6.489,0.28,0.90,-0.88,-0.10,0.15,9.84,100.0,-39
1848,6.572,0.37,0.94,-0.93,-0.05,0.10,10.53,100.0,-39
1849,6.656,0.35,0.90,-0.88,-0.10,0.15,10.42,100.0,-39
1850,6.739,0.36,0.89,-0.88,-0.10,0.10,10.30,100.0,-39
1851,6.823,0.36,0.90,-0.88,-0.05,0.15,10.19,100.0,-39
1852,6.907,0.40,0.91,-0.88,-0.10,0.20,10.08,100.0,-39
1853,6.990,0.39,0.86,-0.83,-0.05,0.20,9.97,100.0,-39
1854,7.091,0.50,0.82,-0.78,-0.05,0.24,10.60,100.0,-38
1855,7.191,0.49,0.81,-0.78,-0.05,0.20,10.47,100.0,-38
1856,7.291,0.49,0.86,-0.83,-0.05,0.20,10.34,100.0,-38
1857,7.391,0.49,0.87,-0.83,-0.15,0.20,10.21,100.0,-38
1858,7.492,0.45,0.86,-0.83,-0.10,0.20,10.09,100.0,-38
1859,7.592,0.44,0.85,-0.83,-0.05,0.15,9.97,100.0,-38
1860,7.676,0.49,0.86,-0.83,-0.10,0.20,10.58,100.0,-40
1861,7.759,0.46,0.85,-0.83,-0.10,0.15,10.48,100.0,-40
1862,7.843,0.48,0.90,-0.88,-0.05,0.15,10.37,100.0,-40
1863,7.926,0.48,0.90,-0.88,-0.05,0.20,10.28,100.0,-40
1864,8.010,0.50,0.85,-0.83,-0.05,0.15,10.18,100.0,-40
1865,8.094,0.51,0.85,-0.83,-0.10,0.15,10.08,100.0,-40
1866,8.177,0.50,0.91,-0.88,-0.10,0.20,10.66,100.0,-40
1867,8.261,0.47,0.86,-0.83,-0.10,0.20,10.56,100.0,-40
1868,8.344,0.45,0.91,-0.88,-0.15,0.15,10.46,100.0,-40
1869,8.428,0.45,0.91,-0.88,-0.10,0.20,10.37,100.0,-40
1870,8.512,0.39,0.85,-0.83,-0.10,0.15,10.50,100.0,-40
1871,8.595,0.34,0.85,-0.83,-0.10,0.15,10.63,100.0,-40
1872,8.679,0.41,0.86,-0.83,-0.10,0.20,11.45,100.0,-41
1873,8.763,0.35,0.94,-0.88,-0.20,0.24,11.60,100.0,-41
1874,8.846,0.38,0.93,-0.88,-0.15,0.24,11.75,100.0,-41
1875,8.930,0.38,0.96,-0.93,-0.15,0.20,11.08,100.0,-41
1876,9.013,0.36,0.92,-0.88,-0.10,0.24,11.10,100.0,-41
1877,9.097,0.35,0.87,-0.83,-0.15,0.20,11.13,100.0,-41
1878,9.197,0.43,0.90,-0.88,-0.05,0.15,11.82,100.0,-40
1879,9.298,0.36,0.85,-0.83,-0.10,0.15,11.82,100.0,-40
1880,9.398,0.34,0.86,-0.83,-0.10,0.20,11.82,100.0,-40
1881,9.498,0.34,0.96,-0.93,-0.10,0.20,11.10,100.0,-40
1882,9.598,0.27,0.97,-0.93,-0.15,0.24,11.08,100.0,-40
1883,9.699,0.24,0.89,-0.83,-0.20,0.24,11.06,100.0,-40
1884,9.782,0.37,0.99,-0.98,-0.05,0.10,11.75,100.0,-49
1885,9.866,0.40,1.04,-1.03,0.00,0.15,11.75,100.0,-49
1886,9.950,0.46,1.09,-1.08,0.05,0.15,11.75,100.0,-49
1887,10.033,0.46,1.10,-1.08,0.05,0.20,11.06,100.0,-49
1888,10.117,0.45,1.05,-1.03,-0.05,0.20,11.06,100.0,-49
1889,10.201,0.53,1.00,-0.98,-0.10,0.20,11.06,100.0,-49
1890,10.284,0.59,0.98,-0.98,0.00,-0.10,11.75,100.0,-48
1891,10.368,0.63,0.90,-0.88,-0.05,-0.15,11.75,100.0,-48
1892,10.451,0.76,1.00,-0.98,0.05,-0.20,11.75,100.0,-48
1893,10.535,0.76,1.00,-0.98,0.00,-0.20,11.06,100.0,-48
1894,10.619,0.78,0.90,-0.88,0.05,-0.15,11.06,100.0,-48
1895,10.702,0.87,0.95,-0.93,0.15,-0.15,11.06,100.0,-48
1896,10.786,1.01,1.03,-1.03,0.10,0.00,11.75,100.0,-42
1897,10.870,0.93,1.09,-1.08,0.15,0.00,11.75,100.0,-42
1898,10.953,0.99,1.14,-1.13,0.20,0.00,11.75,100.0,-42
1899,11.037,0.99,1.13,-1.13,0.10,-0.05,11.08,100.0,-42
1900,11.121,0.94,1.08,-1.08,0.05,-0.05,11.10,100.0,-42
1901,11.204,0.90,1.13,-1.13,0.00,-0.05,11.13,100.0,-42
1902,11.304,0.97,0.99,-0.98,0.15,-0.05,11.82,100.0,-45
1903,11.405,0.90,0.99,-0.98,0.15,0.05,11.82,100.0,-45
1904,11.505,0.87,1.03,-1.03,0.10,0.05,11.82,100.0,-45
1905,11.605,0.87,1.04,-1.03,0.10,0.10,11.10,100.0,-45
1906,11.706,0.79,1.09,-1.08,0.05,0.15,11.08,100.0,-45
1907,11.806,0.81,1.03,-1.03,0.00,0.10,11.06,100.0,-45
1908,11.889,0.82,1.09,-1.08,0.15,-0.10,11.75,100.0,-43
1909,11.973,0.70,1.04,-1.03,0.15,-0.05,11.75,100.0,-43
1910,12.057,0.62,1.09,-1.08,0.15,0.00,11.75,100.0,-43
1911,12.140,0.62,1.43,-1.42,0.10,0.05,11.06,100.0,-43
1912,12.224,0.56,1.03,-1.03,0.10,0.05,11.06,100.0,-43
1913,12.308,0.51,1.04,-1.03,0.10,0.15,11.06,100.0,-43
1914,12.391,0.62,1.10,-1.08,0.05,-0.20,11.75,100.0,-43
1915,12.475,0.64,1.14,-1.13,0.15,-0.05,11.75,100.0,-43
1916,12.558,0.65,1.18,-1.18,0.05,0.00,11.75,100.0,-43
1917,12.642,0.65,1.23,-1.22,0.10,0.05,11.06,100.0,-43
1918,12.726,0.61,1.33,-1.32,0.00,0.10,11.06,100.0,-43
1919,12.809,0.66,1.27,-1.27,-0.05,0.00,11.06,100.0,-43
1920,12.893,0.69,1.18,-1.18,0.05,-0.10,11.75,100.0,-42
1921,12.976,0.63,1.13,-1.13,0.10,-0.05,11.75,100.0,-42
1922,13.060,0.59,1.14,-1.13,0.15,0.05,11.75,100.0,-42
1923,13.144,0.59,1.07,-1.03,0.29,-0.05,11.06,100.0,-42
1924,13.227,0.55,1.11,-1.08,0.24,0.05,11.06,100.0,-42
1925,13.311,0.53,0.99,-0.98,0.15,0.05,11.06,100.0,-42
1926,13.395,0.59,1.04,-1.03,0.10,-0.15,11.75,100.0,-47
1927,13.478,0.58,0.98,-0.93,0.10,-0.29,11.75,100.0,-47
1928,13.562,0.48,0.92,-0.88,0.20,-0.20,11.75,100.0,-47
1929,13.646,0.48,0.92,-0.88,0.20,-0.15,11.08,100.0,-47
1930,13.729,0.48,0.96,-0.93,0.20,-0.15,11.10,100.0,-47
1931,13.813,0.52,1.15,-1.13,0.20,-0.10,11.13,100.0,-47
1932,13.913,0.64,1.33,-1.32,0.10,-0.10,11.82,100.0,-48
1933,14.013,0.54,1.28,-1.27,0.15,0.00,11.82,100.0,-48
1934,14.114,0.56,1.28,-1.27,0.10,0.05,11.82,100.0,-48
1935,14.214,0.56,1.38,-1.37,0.10,0.10,11.10,100.0,-48
1936,14.314,0.48,1.29,-1.27,0.20,0.05,11.08,100.0,-48
1937,14.414,0.46,1.19,-1.18,0.20,0.00,11.06,100.0,-48
1938,14.498,0.63,0.93,-0.93,0.00,0.00,11.75,100.0,-59
1939,14.582,0.60,0.93,-0.93,0.00,0.05,11.75,100.0,-59
1940,14.665,0.60,0.98,-0.98,0.05,0.05,11.75,100.0,-59
1941,14.749,0.55,1.18,-1.18,0.00,0.05,11.06,100.0,-59
1942,14.833,0.55,1.18,-1.18,0.05,0.05,11.06,100.0,-59
1943,14.916,0.56,1.18,-1.18,0.05,-0.10,11.06,100.0,-59
1944,15.000,0.67,1.36,-1.32,0.05,0.29,11.75,100.0,-56
1945,15.083,0.64,1.34,-1.32,0.00,0.20,11.75,100.0,-56
1946,15.167,0.59,1.28,-1.27,-0.05,0.15,11.75,100.0,-56
1947,15.251,0.59,1.23,-1.22,-0.10,0.10,11.06,100.0,-56
1948,15.334,0.55,1.13,-1.13,-0.05,0.05,11.06,100.0,-56
1949,15.418,0.53,1.18,-1.18,0.00,0.05,11.06,100.0,-56
1950,15.502,0.60,1.10,-1.08,0.10,0.20,11.75,100.0,-54
1951,15.585,0.60,1.10,-1.08,0.10,0.20,11.75,100.0,-54
1952,15.669,0.72,1.18,-1.13,0.10,0.34,11.75,100.0,-54
1953,15.752,0.72,1.16,-1.08,0.20,0.39,11.08,100.0,-54
1954,15.836,0.82,0.93,-0.88,0.15,0.24,11.10,100.0,-54
1955,15.920,0.90,0.87,-0.83,0.15,0.20,11.13,100.0,-54
1956,16.020,1.01,0.98,-0.93,0.29,-0.10,11.82,100.0,-47
1957,16.120,1.05,0.94,-0.88,0.24,-0.20,11.82,100.0,-47
1958,16.221,1.09,1.04,-0.98,0.29,-0.20,11.82,100.0,-47
1959,16.321,1.09,1.05,-1.03,0.15,-0.15,11.10,100.0,-47
1960,16.421,1.19,1.08,-1.08,0.05,-0.05,11.08,100.0,-47
1961,16.521,1.18,1.00,-0.98,0.05,-0.20,11.06,100.0,-47
1962,16.605,1.24,0.94,-0.93,0.15,0.05,11.75,100.0,-44
1963,16.689,1.17,0.98,-0.98,0.10,0.00,11.75,100.0,-44
1964,16.772,1.27,0.93,-0.93,0.05,0.00,11.75,100.0,-44
1965,16.856,1.27,0.98,-0.98,0.05,0.00,11.06,100.0,-44
1966,16.939,1.24,1.03,-1.03,0.05,0.00,11.06,100.0,-44
1967,17.023,1.29,1.08,-1.08,0.10,0.00,11.06,100.0,-44
1968,17.107,1.36,1.12,-1.08,0.24,0.20,11.75,100.0,-51
1969,17.190,1.28,1.11,-1.08,0.24,0.10,11.75,100.0,-51
1970,17.274,1.26,1.10,-1.08,0.20,0.05,11.75,100.0,-51
1971,17.358,1.26,1.11,-1.08,0.24,-0.05,11.06,100.0,-51
1972,17.441,1.26,1.00,-0.98,0.20,-0.05,11.06,100.0,-51
1973,17.525,1.30,1.05,-1.03,0.20,0.05,11.06,100.0,-51
1974,17.608,1.37,1.10,-1.08,0.20,0.05,11.75,100.0,-61
1975,17.692,1.30,1.05,-1.03,0.20,0.00,11.75,100.0,-61
1976,17.776,1.26,0.92,-0.88,0.24,-0.10,11.75,100.0,-61
1977,17.859,1.26,0.94,-0.93,0.10,-0.05,11.08,100.0,-61
1978,17.943,1.32,0.99,-0.98,0.10,-0.05,11.10,100.0,-61
1979,18.027,1.32,1.13,-1.13,0.05,0.00,11.13,100.0,-61
1980,18.110,1.43,1.10,-1.08,0.05,0.20,11.84,100.0,-63
1981,18.194,1.44,0.92,-0.88,0.15,0.20,11.87,100.0,-63
1982,18.277,1.44,0.96,-0.93,0.15,0.20,11.89,100.0,-63
1983,18.361,1.44,0.97,-0.93,0.24,0.15,11.19,100.0,-63
1984,18.445,1.36,1.00,-0.98,0.20,0.00,11.19,100.0,-63
1985,18.528,1.44,1.00,-0.98,0.20,-0.05,11.19,100.0,-63
1986,18.629,1.48,1.03,-1.03,0.10,0.05,11.87,100.0,-63
1987,18.729,1.42,0.91,-0.88,0.10,0.20,11.84,100.0,-63
1988,18.829,1.44,1.00,-0.98,0.10,0.20,11.82,100.0,-63
1989,18.929,1.44,1.05,-1.03,0.00,0.20,11.10,100.0,-63
1990,19.030,1.37,1.15,-1.13,0.10,0.20,11.08,100.0,-63
1991,19.130,1.34,1.10,-1.08,0.10,0.20,11.06,100.0,-63
1992,19.214,1.37,0.80,-0.78,0.15,0.05,11.75,100.0,-67
