sid,time,altitude,acceleration,acceleration-X,acceleration-Y,acceleration-Z,SPS,Reliability,RSSI
4026,-0.674,0.00,1.23,-1.18,0.15,-0.34,0.00,100.0,-64
4027,-0.474,0.00,1.17,-1.13,0.10,-0.29,0.00,100.0,-64
4028,-0.274,-0.09,1.23,-1.18,0.15,-0.34,0.00,100.0,-64
4029,-0.074,-0.09,1.22,-1.18,0.15,-0.29,0.00,100.0,-64
4030,0.126,-0.07,1.23,-1.18,0.15,-0.34,0.00,100.0,-64
4031,0.326,-0.02,1.18,-1.13,0.10,-0.34,0.00,100.0,-64
4032,0.409,0.03,1.23,-1.18,0.15,-0.34,5.54,100.0,-61
4033,0.493,-0.04,1.27,-1.22,0.15,-0.29,5.14,100.0,-61
4034,0.576,-0.11,1.20,-1.18,0.10,-0.24,4.80,100.0,-61
4035,0.660,-0.11,1.23,-1.18,0.15,-0.34,4.50,100.0,-61
4036,0.743,-0.18,1.22,-1.18,0.10,-0.29,4.23,100.0,-61
4037,0.827,-0.24,1.17,-1.13,0.15,-0.29,4.00,100.0,-61
4038,0.910,-0.10,1.17,-1.13,0.10,-0.29,7.57,100.0,-60
4039,0.994,-0.09,1.16,-1.13,0.15,-0.24,7.19,100.0,-60
4040,1.078,-0.12,1.22,-1.18,0.10,-0.29,6.85,100.0,-60
4041,1.161,-0.12,1.22,-1.18,0.15,-0.29,6.54,100.0,-60
4042,1.245,-0.14,1.28,-1.22,0.15,-0.34,6.25,100.0,-60
4043,1.328,-0.10,1.17,-1.13,0.15,-0.29,5.99,100.0,-60
4044,1.412,0.01,1.27,-1.22,0.15,-0.29,8.63,100.0,-59
4045,1.496,-0.05,1.23,-1.18,0.15,-0.34,8.30,100.0,-59
4046,1.579,-0.12,1.14,-1.08,0.10,-0.34,7.99,100.0,-59
4047,1.663,-0.12,1.19,-1.13,0.15,-0.34,7.70,100.0,-59
4048,1.747,-0.12,1.22,-1.18,0.15,-0.29,7.44,100.0,-59
4049,1.830,-0.10,1.19,-1.13,0.15,-0.34,7.19,100.0,-59
4050,1.931,-0.11,1.23,-1.18,0.10,-0.34,9.21,100.0,-59
4051,2.031,-0.11,1.21,-1.18,0.15,-0.24,8.87,100.0,-59
4052,2.131,-0.08,1.22,-1.18,0.15,-0.29,8.56,100.0,-59
4053,2.231,-0.08,1.13,-1.08,0.15,-0.29,8.26,100.0,-59
4054,2.332,-0.13,1.18,-1.13,0.20,-0.29,7.98,100.0,-59
4055,2.432,-0.15,1.23,-1.18,0.15,-0.34,7.73,100.0,-59
4056,2.516,-0.12,1.23,-1.18,0.15,-0.34,9.40,100.0,-60
4057,2.599,-0.17,1.23,-1.18,0.15,-0.34,9.16,100.0,-60
4058,2.683,-0.22,1.17,-1.13,0.15,-0.29,8.94,100.0,-60
4059,2.767,-0.22,1.13,-1.08,0.15,-0.29,8.72,100.0,-60
4060,2.850,-0.25,1.27,-1.22,0.15,-0.29,8.51,100.0,-60
4061,2.934,-0.21,1.26,-1.22,0.20,-0.24,8.31,100.0,-60
4062,3.018,-0.17,1.23,-1.18,0.10,-0.34,9.75,100.0,-64
4063,3.101,-0.23,1.17,-1.13,0.15,-0.29,9.54,100.0,-64
4064,3.185,-0.20,1.19,-1.13,0.15,-0.34,9.33,100.0,-64
4065,3.268,-0.20,1.17,-1.13,0.10,-0.29,9.13,100.0,-64
4066,3.352,-0.28,1.18,-1.13,0.10,-0.34,8.94,100.0,-64
4067,3.436,-0.26,1.22,-1.18,0.15,-0.29,8.76,100.0,-64
4068,3.519,-0.21,1.23,-1.18,0.15,-0.34,10.02,100.0,-60
4069,3.603,-0.17,1.22,-1.13,0.15,-0.44,9.82,100.0,-60
4070,3.687,-0.15,1.22,-1.18,0.15,-0.29,9.63,100.0,-60
4071,3.770,-0.15,1.23,-1.18,0.15,-0.34,9.45,100.0,-60
4072,3.854,-0.18,1.22,-1.18,0.10,-0.29,9.28,100.0,-60
4073,3.938,-0.18,1.23,-1.18,0.10,-0.34,9.11,100.0,-60
4074,4.038,-0.08,1.19,-1.13,0.15,-0.34,10.19,100.0,-60
4075,4.138,-0.15,1.23,-1.18,0.15,-0.34,9.97,100.0,-60
4076,4.238,-0.13,1.22,-1.18,0.10,-0.29,9.77,100.0,-60
4077,4.339,-0.13,1.23,-1.18,0.15,-0.34,9.58,100.0,-60
4078,4.439,-0.14,1.17,-1.13,0.05,-0.29,9.39,100.0,-60
4079,4.539,-0.15,1.22,-1.18,0.15,-0.29,9.21,100.0,-60
4080,4.623,-0.07,1.18,-1.13,0.10,-0.34,10.19,100.0,-60
4081,4.707,-0.22,1.27,-1.22,0.15,-0.29,10.04,100.0,-60
4082,4.790,-0.24,1.23,-1.18,0.10,-0.34,9.88,100.0,-60
4083,4.874,-0.24,1.23,-1.18,0.15,-0.34,9.73,100.0,-60
4084,4.958,-0.23,1.18,-1.13,0.20,-0.29,9.59,100.0,-60
4085,5.041,-0.25,1.31,-1.22,0.15,-0.44,9.45,100.0,-60
4086,5.125,-0.12,1.25,-1.22,0.15,-0.20,10.35,100.0,-61
4087,5.208,-0.19,1.18,-1.13,0.10,-0.34,10.20,100.0,-61
4088,5.292,-0.16,1.21,-1.18,0.15,-0.24,10.06,100.0,-61
4089,5.375,-0.16,1.17,-1.13,0.15,-0.29,9.92,100.0,-61
4090,5.459,-0.23,1.15,-1.13,0.10,-0.20,9.78,100.0,-61
4091,5.542,-0.17,1.13,-1.08,0.15,-0.29,9.65,100.0,-61
