sid,time,altitude,acceleration,acceleration-X,acceleration-Y,acceleration-Z,SPS,Reliability,RSSI
4116,-0.554,0.00,0.99,0.93,0.15,-0.29,0.00,100.0,-83
4117,-0.354,-0.05,0.98,0.93,0.10,-0.29,0.00,100.0,-83
4118,-0.154,-0.03,0.96,0.93,0.15,-0.20,15.00,100.0,-83
4119,0.046,-0.03,0.97,0.93,0.15,-0.24,10.00,100.0,-83
4120,0.246,-0.06,0.97,0.93,0.15,-0.24,7.50,100.0,-83
4121,0.446,-0.10,0.91,0.88,0.10,-0.20,6.00,100.0,-83
4122,0.546,-0.05,1.00,0.98,0.10,-0.20,5.45,100.0,-83
4123,0.647,-0.06,0.96,0.93,0.10,-0.20,9.99,100.0,-83
4124,0.747,-0.03,0.93,0.88,0.15,-0.24,9.22,100.0,-83
4125,0.848,-0.03,0.97,0.93,0.15,-0.24,8.56,100.0,-83
4126,0.948,-0.06,0.96,0.93,0.10,-0.20,7.99,100.0,-83
4128,1.132,-0.12,0.96,0.93,0.15,-0.20,10.67,100.0,-83
4129,1.216,-0.18,1.01,0.98,0.05,-0.24,10.17,100.0,-83
4130,1.299,-0.14,0.96,0.93,0.15,-0.20,9.71,100.0,-83
4131,1.383,-0.14,0.92,0.88,0.10,-0.24,9.29,100.0,-83
4132,1.467,-0.19,0.89,0.83,0.20,-0.24,8.91,100.0,-83
4134,1.634,-0.07,0.96,0.93,0.15,-0.20,10.97,100.0,-86
4135,1.718,-0.11,1.01,0.98,0.15,-0.20,10.56,100.0,-86
4136,1.801,-0.06,0.98,0.93,0.10,-0.29,10.19,100.0,-86
4137,1.885,-0.06,0.93,0.88,0.15,-0.24,9.84,100.0,-86
4138,1.969,-0.10,1.01,0.98,0.10,-0.24,9.51,100.0,-86
4140,2.136,-0.06,0.99,0.93,0.15,-0.29,11.15,100.0,-88
4141,2.220,-0.06,0.97,0.93,0.10,-0.24,10.81,100.0,-88
4142,2.304,-0.07,0.96,0.93,0.10,-0.20,10.50,100.0,-88
4143,2.387,-0.07,0.97,0.93,0.10,-0.24,10.20,100.0,-88
4144,2.471,-0.06,0.97,0.93,0.10,-0.24,9.92,100.0,-88
4145,2.555,-0.11,0.91,0.88,0.10,-0.20,9.65,100.0,-88
4146,2.638,-0.06,0.97,0.93,0.10,-0.24,11.28,100.0,-92
4147,2.722,-0.15,0.96,0.93,0.10,-0.20,10.99,100.0,-92
4148,2.806,-0.15,0.93,0.88,0.15,-0.24,10.71,100.0,-92
4149,2.889,-0.15,0.99,0.93,0.15,-0.29,10.45,100.0,-92
4150,2.973,-0.13,0.94,0.88,0.15,-0.29,10.21,100.0,-92
4152,3.157,-0.10,0.95,0.93,0.10,-0.15,11.32,100.0,-92
4153,3.258,-0.13,1.03,0.98,0.15,-0.29,11.02,100.0,-92
4154,3.358,-0.15,0.96,0.93,0.15,-0.20,10.74,100.0,-92
4155,3.458,-0.15,0.96,0.93,0.10,-0.20,10.47,100.0,-92
4156,3.559,-0.19,1.04,0.98,0.10,-0.34,10.21,100.0,-92
4158,3.743,-0.20,0.93,0.88,0.15,-0.24,11.17,100.0,-92
4159,3.826,-0.25,1.03,0.98,0.15,-0.29,10.96,100.0,-92
4160,3.910,-0.21,0.95,0.93,0.10,-0.15,10.75,100.0,-92
4161,3.994,-0.21,0.96,0.93,0.10,-0.20,10.55,100.0,-92
4162,4.078,-0.26,0.97,0.93,0.15,-0.24,10.36,100.0,-92
4164,4.245,-0.17,0.92,0.88,0.10,-0.24,11.25,100.0,-92
4165,4.329,-0.26,0.97,0.93,0.20,-0.20,11.06,100.0,-92
4166,4.412,-0.25,0.92,0.88,0.10,-0.24,10.87,100.0,-92
4167,4.496,-0.25,0.97,0.93,0.10,-0.24,10.69,100.0,-92
4168,4.580,-0.30,0.97,0.93,0.10,-0.24,10.52,100.0,-92
4169,4.663,-0.26,0.97,0.93,0.15,-0.24,10.35,100.0,-92
4170,4.747,-0.19,1.01,0.98,0.10,-0.24,11.32,100.0,-93
4171,4.831,-0.19,0.96,0.93,0.10,-0.20,11.14,100.0,-93
4172,4.914,-0.18,0.95,0.93,0.15,-0.10,10.97,100.0,-93
4173,4.998,-0.18,0.93,0.88,0.15,-0.24,10.81,100.0,-93
4174,5.082,-0.21,0.96,0.93,0.15,-0.20,10.65,100.0,-93
4175,5.166,-0.16,0.97,0.93,0.15,-0.24,10.49,100.0,-93
4176,5.266,-0.17,0.96,0.93,0.05,-0.24,11.34,100.0,-92
4177,5.366,-0.21,0.97,0.93,0.10,-0.24,11.15,100.0,-92
4178,5.467,-0.26,0.92,0.88,0.15,-0.20,10.96,100.0,-92
4179,5.567,-0.26,0.97,0.93,0.10,-0.24,10.78,100.0,-92
4180,5.667,-0.24,0.98,0.93,0.20,-0.24,10.61,100.0,-92
4182,5.851,-0.20,0.92,0.88,0.15,-0.20,11.24,100.0,-92
4183,5.935,-0.23,0.95,0.93,0.15,-0.10,11.10,100.0,-92
4184,6.019,-0.25,0.96,0.93,0.10,-0.20,10.95,100.0,-92
4185,6.103,-0.25,0.95,0.93,0.05,-0.20,10.82,100.0,-92
4186,6.186,-0.26,0.99,0.93,0.15,-0.29,10.68,100.0,-92
4188,6.354,-0.18,0.97,0.93,0.10,-0.24,11.29,100.0,-92
4189,6.437,-0.19,0.98,0.93,0.10,-0.29,11.16,100.0,-92
4190,6.521,-0.17,1.00,0.98,0.10,-0.20,11.02,100.0,-92
4191,6.605,-0.17,0.96,0.93,0.15,-0.20,10.90,100.0,-92
4192,6.688,-0.22,1.00,0.98,0.10,-0.20,10.77,100.0,-92
4193,6.772,-0.24,0.96,0.93,0.10,-0.20,10.65,100.0,-92
4194,6.856,-0.18,0.96,0.93,0.10,-0.20,11.34,100.0,-91
4195,6.939,-0.10,0.96,0.93,0.15,-0.20,11.21,100.0,-91
4196,7.023,-0.07,0.97,0.93,0.15,-0.24,11.09,100.0,-91
4197,7.107,-0.07,0.92,0.88,0.15,-0.20,10.96,100.0,-91
4198,7.191,-0.08,0.96,0.93,0.15,-0.20,10.85,100.0,-91
4200,7.375,-0.02,0.97,0.93,0.10,-0.24,11.35,100.0,-85
4201,7.475,-0.16,1.07,1.03,0.10,-0.29,11.21,100.0,-85
4202,7.575,-0.16,0.97,0.93,0.10,-0.24,11.07,100.0,-85
4203,7.676,-0.16,0.92,0.88,0.20,-0.20,10.94,100.0,-85
4204,7.776,-0.22,0.97,0.93,0.10,-0.24,10.80,100.0,-85
4206,7.960,-0.14,0.96,0.93,0.15,-0.20,11.27,100.0,-84
4207,8.044,-0.13,0.97,0.93,0.10,-0.24,11.17,100.0,-84
4208,8.128,-0.18,0.91,0.88,0.15,-0.15,11.06,100.0,-84
4209,8.211,-0.18,0.98,0.93,0.20,-0.24,10.95,100.0,-84
4210,8.295,-0.18,0.97,0.93,0.15,-0.24,10.85,100.0,-84
4212,8.462,-0.20,0.96,0.93,0.15,-0.20,11.31,100.0,-84
4213,8.546,-0.12,0.96,0.93,0.15,-0.20,11.21,100.0,-84
4214,8.630,-0.16,0.96,0.93,0.10,-0.20,11.11,100.0,-84
4215,8.714,-0.16,1.01,0.98,0.15,-0.20,11.01,100.0,-84
4216,8.797,-0.14,1.06,1.03,0.15,-0.20,10.91,100.0,-84
4218,8.965,-0.11,0.97,0.93,0.10,-0.24,11.35,100.0,-81
4219,9.048,-0.15,0.97,0.93,0.15,-0.24,11.25,100.0,-81
4220,9.132,-0.11,0.95,0.93,0.15,-0.15,11.15,100.0,-81
4221,9.216,-0.11,0.97,0.93,0.15,-0.24,11.05,100.0,-81
4222,9.299,-0.17,0.96,0.93,0.10,-0.20,10.96,100.0,-81
4223,9.383,-0.22,0.92,0.88,0.10,-0.24,10.87,100.0,-81
4224,9.467,-0.16,0.96,0.93,0.10,-0.20,11.38,100.0,-81
4225,9.551,-0.18,0.99,0.93,0.15,-0.29,11.28,100.0,-81
4226,9.634,-0.22,0.96,0.93,0.10,-0.20,11.19,100.0,-81
4227,9.718,-0.22,0.94,0.88,0.20,-0.24,11.10,100.0,-81
4228,9.802,-0.20,0.99,0.93,0.15,-0.29,11.22,100.0,-81
4230,9.986,-0.09,1.01,0.98,0.15,-0.20,11.24,100.0,-81
4231,10.086,-0.13,0.95,0.93,0.10,-0.15,11.35,100.0,-81
4232,10.186,-0.16,0.94,0.88,0.20,-0.24,11.47,100.0,-81
4233,10.287,-0.16,0.97,0.93,0.15,-0.24,11.58,100.0,-81
4234,10.387,-0.16,0.92,0.88,0.10,-0.24,11.58,100.0,-81
4236,10.571,-0.05,0.97,0.93,0.10,-0.24,11.49,100.0,-80
4237,10.655,-0.08,1.00,0.98,0.15,-0.10,11.51,100.0,-80
4238,10.739,-0.13,1.02,0.98,0.20,-0.20,11.53,100.0,-80
4239,10.822,-0.13,1.01,0.98,0.15,-0.20,11.55,100.0,-80
4240,10.906,-0.16,0.93,0.88,0.15,-0.24,11.05,100.0,-80
4242,11.073,-0.04,0.96,0.93,0.10,-0.20,11.56,100.0,-80
4243,11.157,-0.02,0.96,0.93,0.15,-0.20,11.56,100.0,-80
4244,11.241,-0.03,0.92,0.88,0.20,-0.20,11.56,100.0,-80
4245,11.325,-0.03,1.02,0.98,0.15,-0.24,11.56,100.0,-80
4246,11.408,0.02,0.97,0.93,0.15,-0.24,11.05,100.0,-80
